category,name,product_id,product_url,image_url,full_price,discount_price,tag(s),filename
women_clothing,Check Stretch Nylon Asymmetric Swimsuit,80716901,https://us.burberry.com/check-stretch-nylon-asymmetric-swimsuit-p80716901,https://assets.burberry.com/is/image/Burberryltd/D023241B-57E5-44FC-8B14-870D2E019806?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Check Swimsuit,80090091,https://us.burberry.com/check-swimsuit-p80090091,https://assets.burberry.com/is/image/Burberryltd/02760E2D-1D58-4D04-86E1-F4BDEB0AB5FD?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Check Triangle Bikini,80090081,https://us.burberry.com/check-triangle-bikini-p80090081,https://assets.burberry.com/is/image/Burberryltd/75EF3371-F90A-4E1E-8A37-56BD2E44D34A?$BBY_V3_SL_1.36$&wid=581&hei=788,$550.00,,,women_clothing.html
women_clothing,Check Trim Triangle Bikini,80105821,https://us.burberry.com/check-trim-triangle-bikini-p80105821,https://assets.burberry.com/is/image/Burberryltd/A311A2E2-58AE-4936-AE9C-63AA154E3200?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,Limited Availability,women_clothing.html
women_clothing,Check Trim Bikini,80107701,https://us.burberry.com/check-trim-bikini-p80107701,https://assets.burberry.com/is/image/Burberryltd/050596D0-11AD-47A5-A058-53957EA81A33?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,Check Sleeve Cotton T-shirt,80430571,https://us.burberry.com/check-sleeve-cotton-t-shirt-p80430571,https://assets.burberry.com/is/image/Burberryltd/9C3EBDDB-2C6B-4F50-8459-55F69662F04D?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Check Sleeve Cotton T-shirt,80427161,https://us.burberry.com/check-sleeve-cotton-t-shirt-p80427161,https://assets.burberry.com/is/image/Burberryltd/F965BE45-B606-4F9B-99B0-9792D10393EF?$BBY_V3_SL_1.36$&wid=581&hei=788,$510.00,,,women_clothing.html
women_clothing,Cashmere Trench Coat,80955621,https://us.burberry.com/cashmere-trench-coat-p80955621,https://assets.burberry.com/is/image/Burberryltd/769F28DE-9F35-4F0F-92E7-7CACF7F4A21F?$BBY_V3_SL_1.36$&wid=581&hei=788,"$4,190.00",,,women_clothing.html
women_clothing,Bus Silk Shirt Dress,80941731,https://us.burberry.com/bus-silk-shirt-dress-p80941731,https://assets.burberry.com/is/image/Burberryltd/90B9BAD0-83DB-4906-846A-AFD039B3F01C?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,790.00",,,women_clothing.html
women_clothing,Wool Trousers,80917141,https://us.burberry.com/wool-trousers-p80917141,https://assets.burberry.com/is/image/Burberryltd/85BC42C8-AD5F-4EC5-B5DC-6A575BF3DCA0?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,150.00",,,women_clothing.html
women_clothing,EKD Cotton T-shirt,80963771,https://us.burberry.com/ekd-cotton-t-shirt-p80963771,https://assets.burberry.com/is/image/Burberryltd/9BD70C8A-0407-4B13-AEF9-72AF4B8C7386?$BBY_V3_SL_1.36$&wid=581&hei=788,$550.00,,,women_clothing.html
women_clothing,EKD Cotton T-shirt,80963791,https://us.burberry.com/ekd-cotton-t-shirt-p80963791,https://assets.burberry.com/is/image/Burberryltd/EF2E5359-510C-4699-B797-BC29D15E9B59?$BBY_V3_SL_1.36$&wid=581&hei=788,$550.00,,,women_clothing.html
women_clothing,Boxy Cotton T-shirt,80942831,https://us.burberry.com/boxy-cotton-t-shirt-p80942831,https://assets.burberry.com/is/image/Burberryltd/F3E844B7-A004-4D08-A4ED-0C171E2C3919?$BBY_V3_SL_1.36$&wid=581&hei=788,$480.00,,,women_clothing.html
women_clothing,Wool Blend Jogging Pants,80945591,https://us.burberry.com/wool-blend-jogging-pants-p80945591,https://assets.burberry.com/is/image/Burberryltd/69012914-0991-49CD-A892-55BF3C72A045?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,250.00",,,women_clothing.html
women_clothing,Long Cotton Blend Trench Coat,80930461,https://us.burberry.com/long-cotton-blend-trench-coat-p80930461,https://assets.burberry.com/is/image/Burberryltd/9D9085F5-AA73-4ACE-8D25-70AED1F2DABF?$BBY_V3_SL_1.36$&wid=581&hei=788,"$2,990.00",,,women_clothing.html
women_clothing,Cotton Mesh Dress,80909821,https://us.burberry.com/cotton-mesh-dress-p80909821,https://assets.burberry.com/is/image/Burberryltd/457D8404-EF39-4DBB-BF54-E02F4B9F8767?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,650.00",,,women_clothing.html
women_clothing,Cotton Blend Trousers,80943221,https://us.burberry.com/cotton-blend-trousers-p80943221,https://assets.burberry.com/is/image/Burberryltd/4B4B3025-04E1-4326-A4B5-75B4BADC96CE?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,050.00",,,women_clothing.html
women_clothing,Shield Hardware Jersey Skirt,80897001,https://us.burberry.com/shield-hardware-jersey-skirt-p80897001,https://assets.burberry.com/is/image/Burberryltd/E31C1C3A-C6D1-41BF-AAA7-3970E1C88100?$BBY_V3_SL_1.36$&wid=581&hei=788,"$1,550.00",,,women_clothing.html
